ID,Data,Typ,Kwota,Kategoria,Podkategoria,Osoba,Komentarz
a72a5b62-2391-4a30-a86b-bb7fadd9bf1f,2026-02-01,Wydatek,12,Jedzenie,Praca,Osoba2,
t-001,2026-01-01,Wydatek,"67,15",Jedzenie,Zakupy domowe,Osoba2,
t-002,2026-01-01,Wydatek,"174,78",Jedzenie,Zakupy domowe,Osoba2,
t-003,2026-01-01,Wydatek,"33,98",Jedzenie,Zakupy domowe,Osoba2,
t-004,2026-01-01,Wydatek,"11,26",Jedzenie,Zakupy domowe,Osoba2,
t-005,2026-01-01,Wydatek,"10,49",Jedzenie,Praca,Osoba2,
t-006,2026-01-01,Wydatek,"136,39",Dzieci,Ubrania dzieci,Osoba2,
t-007,2026-01-01,Wydatek,"34,99",Dzieci,Ubrania dzieci,Osoba2,
t-008,2026-01-01,Wydatek,190,Ubrania,Dorośli,Osoba2,
t-009,2026-01-01,Przychód,1600,Inne przychody,800+,Osoba2,
t-010,2026-01-01,Wydatek,50,Inne,Prezenty,Osoba2,
t-011,2026-01-01,Wydatek,"198,38",Dzieci,Ubrania dzieci,Osoba2,
t-012,2026-01-01,Wydatek,11,Jedzenie,Praca,Osoba2,
t-013,2026-01-01,Wydatek,400,Inne,Fryzjer/kosmetyki,Osoba2,
t-014,2026-01-01,Wydatek,"52,86",Jedzenie,Zakupy domowe,Osoba2,
t-015,2026-01-01,Wydatek,35,Jedzenie,Restauracje/miasto,Osoba2,
t-016,2026-01-01,Wydatek,"10,49",Jedzenie,Praca,Osoba2,
t-017,2026-01-01,Wydatek,"271,97",Ubrania,Dorośli,Osoba2,
t-018,2026-01-01,Wydatek,59,Dzieci,Ubrania dzieci,Osoba2,
t-019,2026-01-01,Wydatek,"138,27",Dom,Wyposażenie,Osoba2,
t-020,2026-01-01,Wydatek,"175,98",Ubrania,Dorośli,Osoba2,
t-021,2026-01-01,Wydatek,"8,99",Jedzenie,Praca,Osoba2,
t-022,2026-01-01,Wydatek,"123,49",Inne,Prezenty,Osoba2,
t-023,2026-01-01,Wydatek,50,Inne,Prezenty,Osoba2,
t-024,2026-01-01,Wydatek,"90,84",Dom,Chemia/środki czystości,Osoba2,
t-025,2026-01-01,Przychód,"4500,00",Wynagrodzenie,Osoba2,Osoba2,
t-026,2026-01-01,Przychód,"1350,00",Inne przychody,Premia,Osoba2,
